City,Population,Country,Coordinates
Delhi,26495000,India,Point(77.216666666 28.666666666)
Mumbai,12442373,India,Point(72.833333333 18.966666666)
Bengaluru,11250000,India,Point(77.597963 12.969907)
Chennai,10265000,India,Point(80.27 13.09)
Hyderabad,9305000,India,Point(78.466666666 17.366666666)
London,8908081,United Kingdom,Point(-0.1275 51.507222222)
Ahmedabad,7645000,India,Point(72.58 23.03)
Allahabad,5954391,India,Point(81.85 25.45)
Pune,5945000,India,Point(73.847777777 18.523611111)
Surat,5935000,India,Point(72.83 21.17)
Kolkata,4496694,India,Point(88.337777777 22.541111111)
Lucknow,3382000,India,Point(80.947 26.847)
Jaipur,3073350,India,Point(75.866666666 26.916666666)
Kanpur,2701324,India,Point(80.331111111 26.4725)
Mirzapur,2496970,India,Point(82.58 25.15)
Nagpur,2405665,India,Point(79.083055555 21.153888888)
Ghaziabad,2381452,India,Point(77.416666666 28.666666666)
Indore,2201927,India,Point(75.847222222 22.720555555)
Vadodara,2065771,India,Point(73.2 22.3)
Visakhapatnam,2035922,India,Point(83.316666666 17.733333333)
Bhopal,1883381,India,Point(77.416666666 23.25)
Pimpri-Chinchwad,1729320,India,Point(73.813055555 18.627777777)
Patna,1684222,India,Point(85.141388888 25.61)
Agra,1585704,India,Point(78.02 27.18)
Madurai,1561129,India,Point(78.119394444 9.919661111)
Jamshedpur,1558000,India,Point(86.183333333 22.8)
Nashik,1486053,India,Point(73.783333333 20.0)
Faridabad,1404653,India,Point(77.3 28.416666666)
Aurangabad,1371330,India,Point(75.32 19.88)
Rajkot,1335397,India,Point(70.798363888 22.296908333)
Meerut,1305429,India,Point(77.7 28.99)
Jabalpur,1267564,India,Point(79.933333333 23.166666666)
Thane,1261517,India,Point(72.963333333 19.18)
Vasai-Virar,1222390,India,Point(72.8 19.47)
Varanasi,1198491,India,Point(83.012777777 25.318888888)
Srinagar,1180570,India,Point(74.806111111 34.091111111)
Birmingham,1137100,United Kingdom,Point(-1.9025 52.48)
Amritsar,1132383,India,Point(74.85 31.616666666)
Aligarh,1131160,India,Point(78.08 27.88)
Bhiwandi,1125898,India,Point(73.066666666 19.3)
Navi Mumbai,1119477,India,Point(73.01 19.03)
Gwalior,1101981,India,Point(78.193055555 26.215)
Howrah,1077075,India,Point(88.31 22.59)
Ranchi,1073440,India,Point(85.334722222 23.355555555)
Chandigarh,1055450,India,Point(76.791111111 30.735277777)
Vijayawada,1048240,India,Point(80.616666666 16.516666666)
Jodhpur,1033918,India,Point(73.033333333 26.466666666)
Raipur,1010087,India,Point(81.6336833 21.2379468)
Kota,1001694,India,Point(75.83 25.18)
Bareilly,1000000,India,Point(79.415 28.364)
Coimbatore,959823,India,Point(76.966666666 11.0)
Guwahati,957352,India,Point(91.766666666 26.166666666)
Dispur,957352,India,Point(91.77 26.15)
Solapur,951558,India,Point(75.916666666 17.683333333)
Trichy,916857,India,Point(78.692777777 10.826944444)
Muradabad,887871,India,Point(78.728741666 28.843236111)
Mysore,887446,India,Point(76.653055555 12.308611111)
Gurgaon,876824,India,Point(77.033333333 28.466666666)
Jalandhar,873725,India,Point(75.579166666 31.325555555)
Bhubaneswar,837737,India,Point(85.828055555 20.264444444)
Mira-Bhayandar,814655,India,Point(72.85 19.3)
Thiruvananthapuram,743691,India,Point(76.899722222 8.5)
Saharanpur,705478,India,Point(77.546 29.964)
Warangal,704570,India,Point(79.601111111 17.975555555)
Salem,693236,India,Point(78.166666666 11.65)
Kochi,677381,India,Point(76.283333333 9.966666666)
Guntur,647508,India,Point(80.45 16.3)
Noida,642381,India,Point(77.32 28.57)
Glasgow,626410,United Kingdom,Point(-4.25 55.86)
Bhilai,625700,India,Point(81.716666666 21.366666666)
Mangalore,623841,India,Point(74.880555555 12.870277777)
Cuttack,606007,India,Point(85.866666666 20.45)
Dehradun,578420,India,Point(78.029 30.318)
Durgapur,566517,India,Point(87.32 23.55)
Asansol,563917,India,Point(86.966666666 23.683333333)
Manchester,547627,United Kingdom,Point(-2.233333333 53.466666666)
Nellore,547621,India,Point(79.966666666 14.433333333)
Bristol,535907,United Kingdom,Point(-2.583333333 51.45)
Bikaner,529007,India,Point(73.316944444 28.018055555)
Agartala,522613,India,Point(91.266666666 23.833333333)
Sheffield,518090,United Kingdom,Point(-1.471944444 53.3825)
Ujjain,515215,India,Point(75.777222222 23.182777777)
Liverpool,513441,United Kingdom,Point(-3.0 53.416666666)
Edinburgh,513210,United Kingdom,Point(-3.198888888 55.95)
Jhansi,507000,India,Point(78.56962 25.44862)
Ulhasnagar,506098,India,Point(73.15 19.216666666)
Jammu,502197,India,Point(74.85 32.733333333)
Belgaum,488157,India,Point(74.5 15.866666666)
